,load,day,hour,GFS_temp,NAM_temp,GFS_hum,NAM_dew,load_t_72,load_t_78,load_t_84,load_t_90
150,375.065,52,12,281.04333333333335,269.31621333333334,29.758333333333336,266.6633666666667,312.113,326.0,512.741,352.24300000000005
151,400.133,52,13,282.1994444444444,270.3944833333333,29.974999999999998,267.3276833333333,345.1330000000001,298.774,514.2280000000002,345.325
152,355.839,52,14,283.3555555555556,272.1509666666667,30.191666666666663,267.43888666666663,366.268,285.581,505.565,346.315
153,330.455,52,15,284.5116666666667,273.71410000000003,30.408333333333335,268.24863,375.503,277.784,484.444,355.57199999999995
154,314.788,52,16,286.9569444444445,275.11893666666657,26.536111111111108,269.3903433333333,370.146,280.684,440.075,393.194
155,304.981,52,17,289.4022222222222,276.26133666666664,22.66388888888889,270.23514666666665,371.284,287.643,382.054,458.512
156,305.393,52,18,291.8475,277.08986333333337,18.791666666666668,270.8064666666666,366.672,312.113,326.0,512.741
157,299.843,52,19,293.10333333333324,277.5976166666666,17.488888888888884,271.19144666666676,350.15,345.1330000000001,298.774,514.2280000000002
158,305.082,52,20,294.35916666666674,277.52350000000007,16.18611111111112,271.52045,338.226,366.268,285.581,505.565
159,315.592,52,21,295.615,277.2578933333333,14.883333333333335,271.8675733333333,338.904,375.503,277.784,484.444
160,355.485,52,22,294.52500000000003,276.9775633333333,18.136111111111124,271.39145,365.3130000000001,370.146,280.684,440.075
161,422.459,52,23,293.435,276.6108100000001,21.388888888888875,270.9284533333333,420.48800000000006,371.284,287.643,382.054
162,489.296,53,0,292.345,276.0931166666666,24.641666666666666,270.54502666666673,455.007,366.672,312.113,326.0
163,501.509,53,1,290.89666666666676,275.33534333333336,24.891666666666666,270.18689,443.544,350.15,345.1330000000001,298.774
164,500.816,53,2,289.4483333333332,274.64678999999995,25.141666666666666,270.16602000000006,422.742,338.226,366.268,285.581
165,470.84,53,3,288.00000000000006,274.22301999999996,25.391666666666666,270.8953066666666,399.4,338.904,375.503,277.784
166,417.055,53,4,287.6413888888888,274.03802,26.313888888888883,271.7548133333333,364.954,365.3130000000001,370.146,280.684
167,350.961,53,5,287.2827777777778,274.2355533333333,27.236111111111118,272.4015800000001,315.47,420.48800000000006,371.284,287.643
168,305.9790000000001,53,6,288.44666666666666,274.98889999999994,29.75833333333333,272.19754666666677,277.866,455.007,366.672,312.113
169,278.629,53,7,287.9983333333333,274.63808333333344,30.99722222222221,272.5087333333334,247.73,443.544,350.15,345.1330000000001
170,269.116,53,8,287.55,274.6217166666667,32.23611111111112,272.5138366666667,236.322,422.742,338.226,366.268
171,267.469,53,9,287.10166666666663,274.5608966666666,33.475,272.6383833333333,230.329,399.4,338.904,375.503
172,272.061,53,10,286.8011111111111,274.72391666666664,34.866666666666674,273.0465833333333,224.177,364.954,365.3130000000001,370.146
173,295.711,53,11,286.5005555555556,274.77930000000003,36.258333333333326,273.22266666666667,231.697,315.47,420.48800000000006,371.284
174,349.343,53,12,286.20000000000005,274.97055,37.65,273.40288333333336,251.526,277.866,455.007,366.672
175,376.474,53,13,287.09944444444454,275.37817,36.73055555555555,273.92092333333335,289.841,247.73,443.544,350.15
176,343.352,53,14,287.99888888888887,276.58203,35.81111111111111,274.64195000000007,309.296,236.322,422.742,338.226
177,320.923,53,15,288.89833333333337,278.06464666666676,34.891666666666666,275.48938,316.329,230.329,399.4,338.904
178,299.021,53,16,291.5752777777778,279.40042,30.711111111111112,276.30628666666667,324.789,224.177,364.954,365.3130000000001
179,286.308,53,17,294.25222222222226,280.83734,26.53055555555555,277.0424866666668,320.6140000000001,231.697,315.47,420.48800000000006
180,283.62,53,18,296.92916666666673,281.8984166666666,22.349999999999998,277.71661,325.927,251.526,277.866,455.007
181,280.506,53,19,297.9113888888889,282.7372033333334,20.391666666666655,278.2395333333333,322.43,289.841,247.73,443.544
182,282.648,53,20,298.89361111111106,283.1356833333333,18.433333333333344,278.5963333333333,315.082,309.296,236.322,422.742
183,292.5420000000001,53,21,299.87583333333333,282.9698200000001,16.475,278.81586000000004,319.773,316.329,230.329,399.4
