,load,day,hour,GFS_temp,NAM_temp,GFS_hum,NAM_dew,load_t_72,load_t_78,load_t_84,load_t_90
119,197.757,50,5,275.63666666666677,278.94333,97.83888888888889,276.2648,220.295,305.306,210.051,219.621
120,179.49599999999995,50,6,277.65,281.26548333333335,96.83333333333333,273.9807833333333,200.799,320.436,200.378,253.404
121,163.71200000000005,50,7,277.3427777777778,280.8625266666666,97.09166666666668,273.9801499999999,201.248,315.367,198.88,252.377
122,155.783,50,8,277.0355555555556,280.6276366666668,97.34999999999998,273.9834066666667,187.768,307.296,213.01,241.54
123,156.481,50,9,276.72833333333335,280.27410000000003,97.60833333333333,274.07859999999994,190.2,283.781,228.43,218.675
124,158.12,50,10,276.39000000000004,279.9984166666666,97.61111111111113,274.18152000000003,193.146,254.476,244.923,195.80900000000003
125,165.97799999999995,50,11,276.0516666666667,279.86696333333333,97.61388888888888,274.22571000000005,220.185,220.295,305.306,210.051
126,175.108,50,12,275.7133333333333,279.6365833333333,97.61666666666667,274.3464766666667,247.673,200.799,320.436,200.378
127,194.061,50,13,276.8916666666666,279.76978,96.04166666666669,275.4085333333334,239.372,201.248,315.367,198.88
128,234.43,50,14,278.07,279.9454833333333,94.46666666666665,277.464,221.96400000000003,187.768,307.296,213.01
129,238.73,50,15,279.2483333333333,280.81512000000015,92.89166666666667,279.15625,221.235,190.2,283.781,228.43
130,222.925,50,16,279.87972222222226,282.02028333333345,91.1611111111111,279.9646666666666,214.92,193.146,254.476,244.923
131,229.532,50,17,280.51111111111106,282.83759666666674,89.43055555555556,280.1350700000001,217.618,220.185,220.295,305.306
132,227.324,50,18,281.1425,283.1761866666667,87.69999999999999,280.1026533333333,217.346,247.673,200.799,320.436
133,214.068,50,19,280.49888888888887,283.13617666666664,88.36666666666666,279.8131466666666,206.996,239.372,201.248,315.367
134,203.485,50,20,279.8552777777778,282.70752000000005,89.03333333333335,279.13583333333327,200.95,221.96400000000003,187.768,307.296
135,206.478,50,21,279.21166666666664,281.84479000000005,89.69999999999999,277.9318666666666,213.784,221.235,190.2,283.781
136,233.388,50,22,277.9708333333332,280.97561666666667,90.93611111111112,276.5019833333334,257.851,214.92,193.146,254.476
137,269.01,50,23,276.7300000000002,280.04718666666673,92.1722222222222,275.3460633333333,330.9480000000001,217.618,220.185,220.295
138,288.641,51,0,275.4891666666667,279.1247133333334,93.40833333333335,274.77323666666666,352.15,217.346,247.673,200.799
139,264.658,51,1,275.1980555555555,278.2919299999999,93.01944444444443,274.35890000000006,361.841,206.996,239.372,201.248
140,262.608,51,2,274.9069444444445,277.61086333333327,92.63055555555555,274.04437,343.3230000000001,200.95,221.96400000000003,187.768
141,247.113,51,3,274.61583333333334,276.84967666666677,92.24166666666667,273.7650566666667,298.366,213.784,221.235,190.2
142,223.042,51,4,274.5616666666668,276.1880333333333,92.09166666666665,273.6038566666667,263.203,257.851,214.92,193.146
143,182.508,51,5,274.5074999999999,275.4875866666667,91.94166666666666,273.5001200000001,224.388,330.9480000000001,217.618,220.185
144,175.53599999999997,51,6,275.75,279.1201333333333,96.54166666666667,273.6373366666667,205.479,352.15,217.346,247.673
145,152.349,51,7,275.42388888888894,278.72245666666663,95.75833333333333,273.50896666666677,193.046,361.841,206.996,239.372
146,148.915,51,8,275.09777777777776,278.1891,94.97500000000001,273.0687366666667,196.213,343.3230000000001,200.95,221.96400000000003
147,150.088,51,9,274.7716666666667,277.81298999999996,94.19166666666666,272.8235,194.863,298.366,213.784,221.235
148,152.985,51,10,274.2255555555557,277.5358066666666,93.49166666666666,272.40085,205.638,263.203,257.851,214.92
149,161.942,51,11,273.6794444444443,276.83111999999994,92.79166666666667,271.34360666666663,228.011,224.388,330.9480000000001,217.618
150,187.302,51,12,273.1333333333333,275.9755066666667,92.09166666666668,270.5248166666667,264.963,205.479,352.15,217.346
151,209.275,51,13,273.7388888888889,275.26993,87.75,271.27509999999995,262.682,193.046,361.841,206.996
152,198.236,51,14,274.34444444444443,275.5618666666666,83.40833333333335,271.56473,225.804,196.213,343.3230000000001,200.95
153,211.789,51,15,274.95,275.7121166666667,79.06666666666668,271.58414666666664,212.784,194.863,298.366,213.784
154,202.188,51,16,275.1663888888889,275.9254933333334,77.41944444444445,271.42529999999994,227.777,205.638,263.203,257.851
155,181.937,51,17,275.38277777777773,276.2246033333334,75.7722222222222,271.01664666666665,220.582,228.011,224.388,330.9480000000001
156,192.879,51,18,275.59916666666663,276.39758333333333,74.12500000000001,270.59002999999996,196.144,264.963,205.479,352.15
157,192.429,51,19,275.1969444444444,276.25714999999997,74.93888888888888,270.0232733333334,211.101,262.682,193.046,361.841
158,206.225,51,20,274.7947222222223,275.8976033333333,75.75277777777778,269.60712000000007,204.02,225.804,196.213,343.3230000000001
159,209.27,51,21,274.3925,275.5267533333334,76.56666666666668,269.83923,200.427,212.784,194.863,298.366
160,254.985,51,22,273.27111111111105,274.71198,80.41388888888889,269.3049466666667,248.398,227.777,205.638,263.203
161,288.823,51,23,272.14972222222224,274.19608666666664,84.2611111111111,268.5338700000001,289.16,220.582,228.011,224.388
162,314.165,52,0,271.02833333333336,273.74619666666666,88.10833333333335,268.18869666666666,314.4240000000001,196.144,264.963,205.479
163,313.217,52,1,270.80222222222216,273.3369333333333,87.34722222222221,268.0281166666666,297.959,211.101,262.682,193.046
164,310.618,52,2,270.5761111111112,272.95971999999995,86.58611111111111,267.9080133333334,284.172,204.02,225.804,196.213
165,272.78,52,3,270.3500000000001,272.5562833333333,85.825,267.8035833333333,267.435,200.427,212.784,194.863
166,240.347,52,4,270.2797222222221,272.19117666666676,84.52222222222223,267.7590766666668,241.424,248.398,227.777,205.638
167,212.703,52,5,270.2094444444445,271.83050999999995,83.21944444444445,267.6831166666667,215.722,289.16,220.582,228.011
168,183.587,52,6,270.79833333333335,271.04644999999994,82.725,264.28074999999995,203.879,314.4240000000001,196.144,264.963
169,180.062,52,7,270.4811111111109,270.8706833333334,82.32222222222224,265.0280200000001,195.085,297.959,211.101,262.682
170,179.248,52,8,270.16388888888895,270.8160766666667,81.91944444444444,265.43433333333337,188.268,284.172,204.02,225.804
171,189.33900000000003,52,9,269.84666666666664,270.8382833333333,81.51666666666668,265.74743333333333,190.24400000000003,267.435,200.427,212.784
172,194.035,52,10,269.8883333333333,270.56207,80.33055555555556,266.07368333333335,190.061,241.424,248.398,227.777
173,203.779,52,11,269.93,270.32623000000007,79.14444444444445,266.39363333333336,192.829,215.722,289.16,220.582
174,230.044,52,12,269.9716666666667,270.22246333333334,77.95833333333333,266.8508666666667,205.081,203.879,314.4240000000001,196.144
175,242.97,52,13,271.8949999999999,271.1444833333333,73.08888888888887,267.3172666666666,226.346,195.085,297.959,211.101
